,congruent,incongruent,neutral
Feat 1,0.09094488692784829,-0.003112457644012468,-0.087832429268588
Feat 2,0.11444125320269949,-0.09638398853605237,-0.018057264652021614
Feat 3,0.13281425736672708,-0.01482521279401526,-0.1179890445795098
Feat 4,0.08341781544260765,0.01860269523977866,-0.10202051069273047
Feat 5,0.11137768585335954,0.03826730119168997,-0.14964498708991358
Feat 6,-0.14803840339222538,-0.011615661162014571,0.15965406454026104
Feat 7,-0.037414891272563935,-0.04302914528665468,0.08044403655598016
Feat 8,0.0039743458020535015,-0.05296748380068803,0.04899313796072066
Feat 9,-0.04569305626568281,0.052651826268828604,-0.0069587700135490035
Feat 10,-0.07596759980289722,-0.029816556863518567,0.10578415664085339
Feat 11,0.042785985413511016,-0.03174871931033384,-0.011037266090639142
Feat 12,0.26807245108336536,0.03727725364321406,-0.3053497048338395
Feat 13,-0.02099692708859948,-0.10146582993173295,0.12246275704113721
Feat 14,0.05435955822143562,0.02241796126206046,-0.0767775194317161
Feat 15,0.12613978659278915,0.02893223915826007,-0.15507202571785741
Feat 16,0.2128908792911343,-0.00827707197481323,-0.20461380720935018
Feat 17,0.06708532945571964,-0.06035165155751924,-0.006733677913645019
Feat 18,-0.18023568568040402,0.02600398913832676,0.15423169658183905
Feat 19,0.03406290672028077,-0.02992921317102768,-0.004133693549252819
Feat 20,0.024093566250682742,0.12911542318105265,-0.15320898945267603
Feat 21,0.04549839574174611,-0.030532787178096592,-0.014965608564466748
Feat 22,-0.04107167113995071,0.02501954574395073,0.01605212538476097
Feat 23,0.011440437367353538,0.022745805703348564,-0.03418624308444975
Feat 24,0.05444863204272735,0.04966729076918354,-0.10411592284755862
Feat 25,-0.03312433659590733,-0.04973907219251477,0.08286340880503391
Feat 26,0.09383634916465083,0.07788467938753993,-0.17172102854105106
Feat 27,-0.08049556806902267,0.07157804579651468,0.008917522290325055
Feat 28,-0.14262547989777868,-0.013762881486382545,0.1563883613952831
Feat 29,-0.01696160211548686,0.030224268738607375,-0.013262666618224974
Feat 30,0.03342120493827313,0.01837436587282675,-0.05179557079259102
Feat 31,-0.009211434190002227,-0.006945086925974874,0.01615652111898438
Feat 32,0.027197346838651444,-0.03736044352806032,0.01016309671033149
Feat 33,0.12706617370172685,-0.01587932125182837,-0.11118685241927562
Feat 34,0.2089992894099399,0.05315580907959525,-0.26215509846073193
Feat 35,-0.032205552881160525,0.020289133109775023,0.011916419750959903
Feat 36,-0.0613057458130019,-0.02807829526237472,0.08938404104800868
Feat 37,0.00027402236360629694,-0.03476044475616934,0.03448642237940564
Feat 38,0.005096887662547719,-0.03525288802239519,0.030156000348714813
Feat 39,-0.007197908441492632,-0.010405200952827088,0.01760310940099208
Feat 40,-0.004594090957241312,-0.047320187701529966,0.05191427868495342
Feat 41,-0.06314920724991334,-0.020413139094167435,0.08356234636941164
Feat 42,0.020706842385349256,-0.04065311403228294,0.019946271656278027
Feat 43,-0.08287263022456595,0.0573381310676213,0.025534499169355507
Feat 44,-0.00961430152906425,-0.054205980226357385,0.06382028174088208
Feat 45,-0.04598582351980845,0.005149085069227512,0.04083673841200867
Feat 46,0.036586643516964085,0.05211831094162378,-0.08870495444627333
Feat 47,0.032793061458091965,-0.045535215171392335,0.01274215372256364
Feat 48,0.10901971723000663,0.000942493876153584,-0.10996221106631436
Feat 49,0.06654963349711099,0.009071388676423046,-0.07562102219999114
Feat 50,-0.0763619293044783,0.020803912553127964,0.05555801679706486
subject,-0.3327808102375286,0.12834924021396543,0.20443156987004926
